headline,section,locations,word_count,snippet,source,subjects,url,desk,date,type,id
China House Prices Show Signs of Stabilizing: Surveys,Business Day,[],422,"Chinese property prices rose again in December, according to two private surveys, but are showing signs of stabilizing following government measures aimed at cooling the housing market and averting the threat of a bubble.",Reuters,[],http://www.nytimes.com/reuters/2014/01/01/business/01reuters-china-property.html,,2014-01-01,News,52c3a5be38f0d82e35d8e3fc
Latvia Caps Years of Austerity With Euro Zone Membership,Business Day,[],652,"Latvia joined the euro zone on Wednesday, banking on its experience of austerity to bring it prosperity in a currency union where other economies have floundered.",Reuters,[],http://www.nytimes.com/reuters/2014/01/01/business/01reuters-latvia-euro.html,,2014-01-01,News,52c3ddfb38f0d82e35d8e428
Analysis: Scarred U.S. Consumers a Hard Sell for Traditional Retail,Business Day,[],1189,"If there was one lesson from this year's holiday shopping season, it is that many traditional retailers are having to work a lot harder to persuade Americans to open their pocketbooks.",Reuters,[],http://www.nytimes.com/reuters/2014/01/01/business/01reuters-usa-economy-consumers-analysis.html,,2014-01-01,News,52c3fc3b38f0d82e35d8e455
Spain's Economy Minister Sees 'Significant' Job Creation in 2014,Business Day,[],323,"Spain's Economy Minister said on Wednesday that job creation in 2014 would be ""significant"" as a tentative economic recovery kicks in, but a poll showed most Spaniards do not expect any clear improvement until 2015.",Reuters,[],http://www.nytimes.com/reuters/2014/01/01/business/01reuters-spain-economy.html,,2014-01-01,News,52c40e8238f0d82e35d8e466
Coup-Leader President's Candidate Poised to Win Madagascar Vote,World,[],409,"The candidate backed by Madagascar's coup-leader President Andry Rajoelina held on Wednesday an apparently unassailable lead in the island's run-off vote, which his rival's camp has said was rigged.",Reuters,[],http://www.nytimes.com/reuters/2014/01/01/world/europe/01reuters-madagascar-election.html,,2014-01-01,News,52c40e8538f0d82e35d8e467
"Stop the Wars, Pope Says in New Year Appeal",World,[],491,"Pope Francis made an impassioned New Year's peace address on Wednesday, saying the heart of humanity seemed to have gone astray and too many people were still indifferent to war, violence and injustice.",Reuters,[],http://www.nytimes.com/reuters/2014/01/01/world/europe/01reuters-pope.html,,2014-01-01,News,52c410a138f0d82e35d8e468
Erdogan Rallies Turks to Thwart 'Plot' Against Nation's Success,Business Day,[],689,"Prime Minister Tayyip Erdogan urged Turks to rally around him in fighting what he termed a dirty plot by foreign-backed elements targeting ""the bread on your table, the money in your pocket, the sweat of your brow"".",Reuters,[],http://www.nytimes.com/reuters/2014/01/01/business/01reuters-turkey-corruption.html,,2014-01-01,News,52c4331138f0d82e35d8e48c
"Asia Shares Turn Mixed as China Disappoints, Gold Bounces While Yen Falls",Business Day,[],666,"Asian share markets endured mixed fortunes on Monday in the wake of disappointing data on Chinese manufacturing, while investors showed renewed appetite for commodities as the new year got underway.",Reuters,[],http://www.nytimes.com/reuters/2014/01/01/business/01reuters-markets-global.html,,2014-01-01,News,52c4a4f938f0d82d0ea32620
Maple Leafs and Red Wings Open 2014 With Classic Thriller,Sports,[],615,The National Hockey League rang in the New Year in record breaking style and a shootout thriller as the Toronto Maple Leafs beat the Detroit Red Wings 3-2 in the outdoor Winter Classic on Wednesday.,Reuters,[],http://www.nytimes.com/reuters/2014/01/01/sports/hockey/01reuters-nhl-maple-leafs.html,,2014-01-01,News,52c4a72138f0d82d0ea32622
Winter Classic First Salvo in NHL 'Shock-And-Awe' Campaign,Sports,[],973,"The National Hockey kicked of 2014 with the biggest hockey bash ever on Wednesday, firing the opening salvo in a 'shock-and-awe' campaign designed to turn casual fans into avid ones.",Reuters,[],http://www.nytimes.com/reuters/2014/01/01/sports/hockey/01reuters-nhl-winter-classic.html,,2014-01-01,News,52c4ad6d38f0d82d0ea3262e
Fans Keep Mexico Zapatista Flame Burning 20 Years After Revolt,World,[],827,The picturesque colonial town high in the mountains in southern Mexico is filled with relics of the rebel Zapatista movement that rocked the region with violence in 1994 and catapulted it to worldwide fame.,Reuters,[],http://www.nytimes.com/reuters/2014/01/01/world/americas/01reuters-mexico-zapatistas.html,,2014-01-01,News,52c4ae1d38f0d82d0ea32630
"Over 6,000 Seek Mortgages Under UK Help to Buy Scheme",Business Day,[],445,"Over 6,000 people have applied for mortgages under the British government's Help to Buy scheme in its first three months, which if approved would amount to 910 million pounds ($1.5 billion) in loans, Prime Minister David Cameron announced on...",Reuters,[],http://www.nytimes.com/reuters/2014/01/01/business/01reuters-britain-housing.html,,2014-01-01,News,52c4aed038f0d82d0ea32631
China Factory Activity Surveys Confirm Slowing Momentum,Business Day,[],440,"China's factory activity slowed in December, official and private manufacturing surveys showed, reinforcing views that growth in the world's second-largest economy moderated in the final quarter of 2013.",Reuters,[],http://www.nytimes.com/reuters/2014/01/01/business/01reuters-china-economy-pmi.html,,2014-01-01,News,52c4c6bc38f0d82d0ea32654
Afghan economy hit by US security wrangle,Multimedia/Photos,[],28,Businesses and politicians in Afghanistan say confusion over whether President Karzai will sign a security pact with the United States is hammering the local economy.  David Pollard reports.,Reuters,[],http://www.nytimes.com/video/multimedia/100000002629770/afghan-economy-hit-by-us-security-wrangle.html,Multimedia/Photos,2014-01-02,Video,52c594c038f0d82d0ea327ca
Handicapping the 2014 economy,Multimedia/Photos,[],22,"New data shows underlying strength in the U.S. economy, though there are likely speedbumps that could slow down growth. Bobbi Rebell reports.",Reuters,[],http://www.nytimes.com/video/multimedia/100000002630111/handicapping-the-2014-economy.html,Multimedia/Photos,2014-01-02,Video,52c5c39c38f0d82ae415dadd
"Investors lock in 2013 gains, sinking stocks",Multimedia/Photos,[],24,"Summary: Rocky start for stocks in 2014; Apple, Netflix fall; U.S. economy still improving; Martha settles with Macy's; Fiat's Chrysler deal. Bobbi Rebell reports.",Reuters,[],http://www.nytimes.com/video/multimedia/100000002630496/investors-lock-in-2013-gains-sinking-stocks.html,Multimedia/Photos,2014-01-02,Video,52c5edd038f0d82ae415db7c
Asia Week Ahead: Watch for latest China data blitz,Multimedia/Photos,[],29,"China trade, non services PMI and inflation data will provide fresh clues on the economy, while Asian exporters worry a weakening yen will harm their competitiveness. Tara Joseph reports.",Reuters,[],http://www.nytimes.com/video/multimedia/100000002630936/asia-week-ahead-watch-for-latest-china-data-blitz.html,Multimedia/Photos,2014-01-03,Video,52c64b8d38f0d82ae415dc70
"India's PM Says to Step Down, Backs Gandhi as Successor",World,[],796,Indian Prime Minister Manmohan Singh ruled out on Friday serving another term after an election due by May and threw his support behind Nehru-Gandhi dynasty scion Rahul Gandhi to lead the country if their party wins the vote.,Reuters,[],http://www.nytimes.com/reuters/2014/01/03/world/asia/03reuters-india-pm.html,,2014-01-03,News,52c6540238f0d82ae415dc7a
Analysis: A New Hope or False Dawn for Mexico's Oil Refiners?,Business Day,[],1236,"Mexico's oil refining industry, saddled for years with bloated costs, chronic underinvestment and generous government fuel subsidies, ought to be on the verge of a bright new dawn.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-mexico-oil-analysis.html,,2014-01-03,News,52c6556938f0d82ae415dc7d
Next Shares Hit Record After Strong Christmas Sales,Business Day,[],657,"Next Plc, Britain's second-largest clothing retailer, raised its yearly profit outlook on the back of pre-Christmas sales that topped its own forecast, placing it firmly among the sector's winners in the festive trading season.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-next.html,,2014-01-03,News,52c664dd38f0d82ae415dc8d
"Spain's December Jobless Rate Sinks, Recovery Still Muted",Business Day,[],410,"The number of registered jobless in Spain fell by 2.24 percent in December, adding to evidence of a gradual economic recovery though seasonal factors played a role in what was the biggest drop ever for the month.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-spain-economy-jobless.html,,2014-01-03,News,52c66f6938f0d82ae415dc98
Ex-Finance Minister Wins Disputed Madagascar Election,World,[],444,"Former finance minister Hery Rajaonarimampianina won Madagascar's first presidential election since a coup in 2009 but his closest rival said the vote was rigged, raising concerns the island could remain mired in political turmoil.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/world/europe/03reuters-madagascar-election.html,,2014-01-03,News,52c6723638f0d82ae415dc9c
"Housing Spurs 2013 UK Growth, Investment Doubts Cloud 2014",Business Day,[],793,Britain's booming construction industry and fast-rising house prices suggest the economy finished 2013 on a high but a sharp fall in business lending raises doubts about how sustainable the recovery will prove.,Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-britain-lending.html,,2014-01-03,News,52c6853738f0d82ae415dcbc
Construction PMI Edges Down From Six-Year High-Markit/CIPS,Business Day,[],282,"Britain's construction industry enjoyed its second-fastest month of growth in more than six years in December, helped by the biggest increase in commercial projects since 2007, purchasing managers' data showed on Friday.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-pmi-construction-britain.html,,2014-01-03,News,52c685e938f0d82ae415dcbe
Thai Economy at Risk as Political Rivals Vow Mass Rallies,Business Day,[],710,Thailand's finance minister expressed concern about a weak currency and damage to the economy on Friday as supporters and opponents of the government prepared for big rallies this month that risk pushing the divided country to the brink of chaos.,Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-thailand-protest.html,,2014-01-03,News,52c694b038f0d82ae415dce9
Bangladesh Ruling Party Poised to Cruise as Opposition Boycotts Poll,World,[],697,"With a brass band, horse-drawn carriages and political posters flapping overhead, the rally in an old section of the Bangladesh capital had all the trappings of a spirited election.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/world/asia/03reuters-bangladesh-election.html,,2014-01-03,News,52c6983b38f0d82ae415dcf2
Euro Zone Corporate Lending Shrinks at Record Pace in Nov,Business Day,[],568,"Lending to companies in the euro zone contracted at the fastest pace on record in November, piling pressure on the European Central Bank to do more to revive the currency bloc's economy.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-eurozone-m3.html,,2014-01-03,News,52c69a4e38f0d82ae415dcf6
"Italy, Spain December Inflation Underlines Price Weakness",Business Day,[],326,"Consumer inflation in Italy eased slightly in December on an annual basis and remained stable in Spain, according to preliminary data on Friday which highlighted concern at continuing weakness in prices in the euro zone.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-italy-spain-prices.html,,2014-01-03,News,52c69b0238f0d82ae415dcf7
Abu Dhabi's ATIC to Invest Up to $10 Billion in U.S. Chip Plant,Business Day,[],466,"Abu Dhabi's Advanced Technology Investment Co (ATIC) plans to invest up to $10 billion over the next two years in GlobalFoundries' upstate New York semiconductor factory, its chief executive said on Friday.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-globalfoundries.html,,2014-01-03,News,52c6b45738f0d82ae415dd23
Analysis: Economy Becomes Liability for Turkey's Scandal-Hit Government,Business Day,[],1110,"When a senior Turkish businessman publicly criticized the central bank this week for failing to stabilize the tumbling lira currency, he was taking aim at a pillar of support for the government: its reputation for strong economic management.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-turkey-corruption-economy-analysis.html,,2014-01-03,News,52c6c0fb38f0d82ae415dd3a
"Name Me PM Now, Czech Election Winner Urges President",World,[],392,"Czech Social Democrat leader Bohuslav Sobotka urged the president to move quickly to name him prime minister, as the two men ready for talks on forming the country's next government.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/world/europe/03reuters-czech-politics.html,,2014-01-03,News,52c6df1338f0d82ae415dd5c
"BoE May Lower Jobless Rate Guidance, but Not This Month-Reuters Poll",Business Day,[],480,"The Bank of England may have to lower the 7 percent unemployment rate threshold that it has said would trigger discussion of an interest rate rise, according to a growing minority of economists polled by Reuters.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-boe-rates-poll.html,,2014-01-03,News,52c6e09f38f0d82ae415dd7e
M&S and Tesco's Christmas Sales Set to Disappoint,Business Day,[],591,"Marks &amp; Spencer, Britain's biggest clothing retailer, and Tesco, the country's largest grocer, are expected to report weak Christmas trading, adding to pressure on management to end a run of poor results.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-ms-tesco-preview.html,,2014-01-03,News,52c6e64438f0d82ae415dd9a
Manhattan Apartment Sales Reach Highest Level in 25 Years,N.Y. / Region,[],237,"Sales volumes of Manhattan apartments jumped 30 percent in the fourth quarter, a report on Friday showed, as buyers put aside concerns about the strength of the overall economy and pushed inventory levels to historic lows.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/nyregion/03reuters-realestate-newyork-sales.html,,2014-01-03,News,52c6ed4c38f0d82f3480c9a1
2014 markets - bubble or not?,Multimedia/Photos,[],57,"Against a backdrop of tapering by the U.S. Federal Reserve and a pick-up in the global economy, investors are moving massive amounts of money out of bonds and into equities.  But with stock prices already peaking at record highs, could equity and...",Reuters,[],http://www.nytimes.com/video/multimedia/100000002631480/2014-markets-bubble-or-not.html,Multimedia/Photos,2014-01-03,Video,52c6efa138f0d82f3480c9ac
Vacation List Spurs New Year Political Fight in Venezuela,World,[],613,"Venezuela's politicians are at each other's throats after the government published a list of foreign trips enjoyed by opposition leaders during the Christmas and New Year holidays, saying it proved they don't love their country.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/world/americas/03reuters-venezuela-politics.html,,2014-01-03,News,52c6f3a338f0d82f3480c9ba
Obama to Speak on Unemployment Benefits Extension Tuesday,U.S.,[],208,President Barack Obama will ratchet up his administration's push for an extension of emergency unemployment benefits on Tuesday with an event at the White House attended by people whose benefits have expired.,Reuters,[],http://www.nytimes.com/reuters/2014/01/03/us/politics/03reuters-economy-obama-unemployment.html,,2014-01-03,News,52c7096f38f0d82f3480c9fe
Fed No Less Committed to Stimulus After Cut to QE: Bernanke,Business Day,[],959,"The U.S. Federal Reserve is no less committed to highly accommodative policy now that it has trimmed its bond-buying stimulus, Ben Bernanke said on Friday in what could be his last speech as Fed chairman.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-usa-fed-bernanke.html,,2014-01-03,News,52c711d838f0d82f3480ca1a
Turkey's Gul Urges Judiciary to Stay Impartial in Graft Investigation,Business Day,[],738,"Turkish President Abdullah Gul urged the judiciary to remain impartial as it pursues a corruption investigation shaking the government, warning on Friday of grave economic consequences if confidence in the country's institutions is eroded.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-turkey-corruption-president.html,,2014-01-03,News,52c72df838f0d82f3480ca6c
Analysis: U.S. Treasuries Seen Weakening in 2014 but Rout Unlikely,Business Day,[],932,"Investors who bet heavily on Treasuries took a beating in 2013, and as the Fed winds down its bond buying, they face the risk of a second straight losing year, something that has not happened in four decades.",Reuters,[],http://www.nytimes.com/reuters/2014/01/03/business/03reuters-usa-bonds-selloff-analysis.html,,2014-01-03,News,52c72eb338f0d82f3480ca6f
Putin Eases Curbs on Protests in Sochi for Olympics,Sports,[],496,President Vladimir Putin has eased curbs on demonstrations in the Winter Olympics venue of Sochi in a gesture likely to burnish Russia's image ahead of an event dogged by security and human rights worries.,Reuters,[],http://www.nytimes.com/reuters/2014/01/04/sports/olympics/04reuters-russia-putin-olympics.html,,2014-01-04,News,52c7d8d338f0d82f3480cb70
Rapid QE Withdrawal Could Permanently Harm U.S. Workers: Fed's Rosengren,Business Day,[],345,"A dovish U.S. central banker on Saturday again urged the Federal Reserve to be patient as it trims its support for the economy, in part because it risks permanent damage to the labor market.",Reuters,[],http://www.nytimes.com/reuters/2014/01/04/business/04reuters-usa-fed-rosengren.html,,2014-01-04,News,52c8284438f0d82f3480cbc0
"Fed's Kocherlakota Does Not Comment on U.S. Policy, Economy",Business Day,[],54,"Narayana Kocherlakota, president of the Federal Reserve Bank of Minneapolis, did not comment on monetary policy or the economy, according to prepared remarks on Saturday.",Reuters,[],http://www.nytimes.com/reuters/2014/01/04/business/04reuters-usa-fed-kocherlakota.html,,2014-01-04,News,52c8284a38f0d82f3480cbc1
Still Unclear Exactly How QE Eases Conditions: Fed's Dudley,Business Day,[],155,"Extensive research into massive asset-purchase programs has not yet clarified whether such policies ease financial conditions primarily as a signal to investors or more directly through private portfolios, an influential U.S. central banker said on...",Reuters,[],http://www.nytimes.com/reuters/2014/01/04/business/04reuters-usa-fed-dudley.html,,2014-01-04,News,52c830b638f0d82f3480cbc9
"Mali, Niger Evacuate Citizens From Central African Republic",World,[],475,African countries have started evacuating their citizens from the Central African Republic in recent days amid deteriorating humanitarian conditions and inter-religious violence.,Reuters,[],http://www.nytimes.com/reuters/2014/01/04/world/africa/04reuters-centralafrican-fighting.html,,2014-01-04,News,52c84ab838f0d862ec3222fd
Retreating U.S. Stimulus Poses Risk to World Recovery,Business Day,[],879,"The world economy should finally overcome its hangover from the global financial crisis this year as growth picks up and house prices rise, but reduced U.S. monetary stimulus will pose a challenge.",Reuters,[],http://www.nytimes.com/reuters/2014/01/04/business/04reuters-economy-global.html,,2014-01-04,News,52c85ba038f0d862ec32230f
Italian Junior Minister Who Demanded Government Reshuffle Resigns,World,[],283,"Italian deputy economy minister Stefano Fassina resigned on Saturday, after calling for a cabinet reshuffle following the election of Matteo Renzi to lead his Democratic Party (PD), the biggest in the coalition, a government spokesman said.",Reuters,[],http://www.nytimes.com/reuters/2014/01/04/world/europe/04reuters-italy-politics.html,,2014-01-04,News,52c872d338f0d862ec32232e
Fed's Plosser at Odds With Policy Approach Favored by Yellen,Business Day,[],488,"The Great Recession could have done permanent damage to potential U.S. output, a top Federal Reserve official said on Saturday, taking an indirect shot at more cyclical approaches to policy-making that is favored by many economists, including the...",Reuters,[],http://www.nytimes.com/reuters/2014/01/04/business/04reuters-usa-fed-plosser.html,,2014-01-04,News,52c8867c38f0d862ec322352
Top Fed Officials Zero In on Next Policy Steps,Business Day,[],933,"The U.S. Federal Reserve, having just reduced its bond-buying program, now appears deep in debate over the best way to unwind its extraordinary stimulus in the months and years ahead.",Reuters,[],http://www.nytimes.com/reuters/2014/01/04/business/04reuters-usa-fed.html,,2014-01-04,News,52c8889b38f0d862ec322354
Analysis: Machinists Vote Helps Boeing Avoid Hiring Crunch,Business Day,[],1113,"In clinching a deal with its machinist workers on Friday that will keep jetliner manufacturing in the Pacific Northwest, Boeing Co may not only have secured industrial peace until 2024 and brought its pension costs under control - it has also avoided...",Reuters,[],http://www.nytimes.com/reuters/2014/01/04/business/04reuters-boeing-777vote-analysis.html,,2014-01-04,News,52c8894f38f0d862ec322356
Fed Could Trim Bond-Buying More Sharply in Future: Plosser,Business Day,[],154,"The Federal Reserve could well consider cutting its bond-buying by more than a $10 billion monthly increment in the future, Philadelphia Fed President Charles Plosser said on Saturday, floating $25 billion as a hypothetical amount.",Reuters,[],http://www.nytimes.com/reuters/2014/01/04/business/04reuters-usa-fed-plosser-qe.html,,2014-01-04,News,52c89ae038f0d862ec322367
Thai Tensions to Rise as Power Struggle Intensifies,World,[],704,Thailand is heading for a political showdown as protesters plan to shut down Bangkok next week to sabotage an election while the government's supporters have vowed to stage massive counter-rallies in the country's provinces.,Reuters,[],http://www.nytimes.com/reuters/2014/01/05/world/asia/05reuters-thailand-protest.html,,2014-01-05,News,52c8f2ca38f0d862ec3223d7
"Wall St. Week Ahead: Investors to Watch Fed Minutes, Jobs",Business Day,[],944,"Investors in U.S. stocks will look to Washington this week, awaiting key jobs data and minutes from the Federal Reserve's most recent meeting, when the central bank decided to cut its unprecedented monetary stimulus.",Reuters,[],http://www.nytimes.com/reuters/2014/01/05/business/05reuters-usa-stocks-weekahead.html,,2014-01-05,News,52c9aa4938f0d86071e856e4
Congress to Begin 2014 With Jobless Benefits Battle,U.S.,[],962,The U.S. Congress begins what promises to be another highly combative year on Monday with a showdown over a White House-backed bid to renew unemployment benefits for 1.3 million Americans.,Reuters,[],http://www.nytimes.com/reuters/2014/01/05/us/05reuters-usa-congress.html,,2014-01-05,News,52c9ac6638f0d86071e856e6
Asian Shares Tumble to Two-Week Low on China Services PMI,Business Day,[],734,"Asian shares fell to a two-week low on Monday after growth in China's services sector slowed sharply last month, raising concerns about the pace of recovery in the world's second-largest economy, while safe-haven gold climbed.",Reuters,[],http://www.nytimes.com/reuters/2014/01/05/business/05reuters-markets-global.html,,2014-01-05,News,52c9efe838f0d86071e8573b
British CFOs Say Appetite for Risk Is Returning-Survey,Business Day,[],484,"The finance chiefs of Britain's biggest companies say their appetite for risk has returned, with a poll showing they believe access to bank lending will ease in 2014, enabling them to expand and hire more staff.",Reuters,[],http://www.nytimes.com/reuters/2014/01/05/business/05reuters-britain-companies.html,,2014-01-05,News,52c9f6f038f0d86071e85742
"Osborne, Eyeing 2015 Election, to Stress Job Not Done on Budget",Business Day,[],307,Chancellor George Osborne will on Monday reinforce his plans for lower spending to allow for the possibility of tax cuts as the Conservative-led government tries to seize the initiative in a pre-election year.,Reuters,[],http://www.nytimes.com/reuters/2014/01/05/business/05reuters-britain-osborne-budget.html,,2014-01-05,News,52c9f7a538f0d86071e85744
Office Vacancy Rates in U.S. Unchanged Amid Sluggish Job Growth,Business Day,[],232,"Office vacancy rates in the United States remained unchanged for the fourth quarter of 2013 because lackluster job growth and concerns about the economy muted demand for office space, a preliminary report by real estate research firm Reis Inc said.",Reuters,[],http://www.nytimes.com/reuters/2014/01/05/business/05reuters-realestate-officevacancy.html,,2014-01-05,News,52ca385738f0d86071e857f4
"China Makes Fresh Bid to Curb Shadow Banking, Contain Debt Risk",Business Day,[],1090,China's cabinet has published guidelines strengthening regulation of risky off-balance-sheet lending in a new effort to address growing financial risks from an explosion in debt.,Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-china-economy-shadow-banking.html,,2014-01-06,News,52ca39c238f0d86071e857fa
"China Services Industry Growth Slows, Confirms Year-End Cooldown",Business Day,[],530,"Growth in China's services industries slowed in December, a pair of surveys showed, mirroring a slowdown in manufacturing and confirming views that the world's second-largest economy lost steam at the end of last year.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-china-economy-services-pmi.html,,2014-01-06,News,52ca3b2338f0d86071e85801
Analysis: Euro Zone-Reasons to Be Wary in 2014,Business Day,[],881,Last year was the least tumultuous for the euro zone since Greece revealed a vast hole in its books back in 2009.,Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-eurozone-economy.html,,2014-01-06,News,52ca49dd38f0d86071e85822
Yellen Approved to Head Fed; Only Republicans Vote 'No',U.S.,[],1383,"Janet Yellen, a key force behind the Federal Reserve's unprecedented and controversial efforts to boost the U.S. economy, was confirmed by the Senate on Monday to lead the central bank just as it begins to unwind that stimulus.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/us/politics/06reuters-usa-fed-yellen.html,,2014-01-06,News,52ca4b4838f0d86071e85825
Analysis: Euro Zone-Reasons to Be Wary in 2014,Business Day,[],881,Last year was the least tumultuous for the euro zone since Greece revealed a vast hole in its books back in 2009.,Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-eurozone-economy-analysis.html,,2014-01-06,News,52ca4caf38f0d86071e85827
"China Concerns Hit Stocks, Gold Rebound Continues",Business Day,[],729,Concerns over a slowdown in China's economy triggered a third day of falls for world shares on Monday and extended a spritely rebound in gold to leave it at a near three-week high.,Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-markets-global.html,,2014-01-06,News,52ca50e338f0d86071e8582e
Meat Pumped With Pond Water in South China-State TV,Business Day,[],306,"China has held seven people in southern Guangdong province for injecting dirty pond water into lamb meat to swell its weight and raise its price, state television reported in the latest food scandal to hit the world's second largest economy.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-china-foodsafety.html,,2014-01-06,News,52ca53c138f0d86071e85835
Italy Service Sector Shrinks for Second Month in Dec-PMI,Business Day,[],428,"Italy's service sector contracted for the second month running in December, a survey showed on Monday, evidence the economy is still struggling to emerge from its worst recession since World War Two.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-italy-pmi-services.html,,2014-01-06,News,52ca6e6d38f0d86071e85857
French Services Sector Contraction Accelerates in Dec-PMI,Business Day,[],346,"French services companies saw business pull back in December at its fastest pace in six months, weighing on overall private sector activity, although their outlook for the months ahead brightened, a survey showed.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-france-economy-pmi.html,,2014-01-06,News,52ca6f2338f0d86071e85859
German Private Sector Grows for Eighth Month in Dec-PMI,Business Day,[],371,"Germany's private sector expanded for the eighth month running in December although growth among services providers eased slightly from a 2-1/2 year peak in November, a survey showed on Monday.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-pmi-final-germany.html,,2014-01-06,News,52ca708e38f0d86071e85861
Euro Zone Companies Enjoy Strong Finish to 2013-PMIs,Business Day,[],356,"Businesses across the euro zone enjoyed a strong finish to 2013 as almost two years of job cuts came to an end last month, according to business surveys on Monday.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-eurozone-pmi-final.html,,2014-01-06,News,52ca72a438f0d86071e85866
UK Services Activity Slows Unexpectedly in December-PMI,Business Day,[],647,"Growth in Britain's services sector slowed unexpectedly in December, but confidence rose and the economy still looks likely to have recorded its strongest expansion since 2007 last year, a survey showed on Monday.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-pmi-services-britain.html,,2014-01-06,News,52ca784438f0d86071e85873
German Price Data Adds to Euro Zone Deflation Concerns,Business Day,[],613,"A closely-watched measure of German inflation decelerated sharply in December to 1.2 percent, adding to fears of deflationary pressure across Europe.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-germany-inflation.html,,2014-01-06,News,52ca8e1438f0d86071e858a5
"Portugal Business Confidence Up in December, Marks All-Year Rise",Business Day,[],193,"Portugal's business confidence edged up in December, marking one straight year of monthly improvements from record lows hit in December 2012 as the bailed out economy started to recover from its worst recession since the 1970s.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-portugal-confidence.html,,2014-01-06,News,52ca90df38f0d86071e858ae
"For the First Time, China Crushes 6 Metric Tonnes of Ivory in Public",World,[],498,"China crushed 6.2 metric tonnes (6.83 tons) of confiscated ivory on Monday in the first such public destruction of any part of its stockpile, after the country's fitful enforcement efforts led experts to question its commitment to stamping out...",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/world/asia/06reuters-china-ivory.html,,2014-01-06,News,52ca95d138f0d86071e858b5
"Osborne Wants More Welfare Cuts, Provoking Coalition Row",Business Day,[],659,"The Chancellor announced major cuts to the country's future welfare spending on Monday, spelling out the next phase of a push to fix public finances and straining ties within the coalition government.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-britain-osborne-budget.html,,2014-01-06,News,52ca968838f0d86071e858b7
Spain auto industry to drive growth,Multimedia/Photos,[],55,"The European car industry has been struggling for several years, but Spain's auto assembly plants are bucking the trend, increasing production, winning new models and creating jobs. That's most welcome in Spain, beset by continued high unemployment....",Reuters,[],http://www.nytimes.com/video/multimedia/100000002634409/spain-auto-industry-to-drive-growth.html,Multimedia/Photos,2014-01-06,Video,52ca974138f0d86071e858b9
Surveys Point to Better but Patchy Growth as 2013 Ends,Business Day,[],723,"Service industry growth slowed sharply in China as 2013 drew to a close but picked up across most of Europe, while U.S. firms hired more workers despite slower growth in activity last month.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/business/06reuters-economy-global.html,,2014-01-06,News,52ca9a0638f0d86071e858c0
"Thai Tensions Rise, Economy Uncertain as Power Struggle Intensifies",World,[],819,"Thailand is heading for a political showdown, with anti-government protesters aiming to sabotage an election by shutting down Bangkok next week, deepening a crisis that has divided the country and looks set to squeeze economic growth this year.",Reuters,[],http://www.nytimes.com/reuters/2014/01/06/world/asia/06reuters-thailand-protest.html,,2014-01-06,News,52ca9cdc38f0d86071e858c8
